iter	RMSE
0	0.2712341326
1	0.2626747397
2	0.2544843279
3	0.247157477
4	0.2401134054
5	0.2336879997
6	0.227475967
7	0.2216889937
8	0.2159858598
9	0.2105436028
10	0.2051233564
11	0.2001584562
12	0.1954068845
13	0.1910914498
14	0.1871120916
15	0.1833799965
16	0.1798951515
17	0.1766057283
18	0.1735460387
19	0.1706537042
20	0.1680945182
21	0.1657470039
22	0.1633968403
23	0.1614459609
24	0.1593910607
25	0.1576210333
26	0.1558995994
27	0.1542500497
28	0.1525507924
29	0.1509646051
30	0.1495433042
31	0.1481453825
32	0.1468347068
33	0.145575323
34	0.1444484965
35	0.1433851382
36	0.1424078729
37	0.1413263235
38	0.1404261897
39	0.139559489
40	0.138865464
41	0.138210823
42	0.1375044545
43	0.1369173446
44	0.1361642766
45	0.1356482426
46	0.1349756099
47	0.1342340827
48	0.1337250919
49	0.1331713697
50	0.1324265181
51	0.1319317357
52	0.1314985776
53	0.1309843843
54	0.1304367871
55	0.1300723675
56	0.1297167305
57	0.1293532729
58	0.1289351709
59	0.1285829835
60	0.1281400709
61	0.1279014165
62	0.1276048276
63	0.1273646036
64	0.1270455075
65	0.1267433464
66	0.1263664573
67	0.1260956467
68	0.1258690405
69	0.1256194847
70	0.1253027306
71	0.1249153926
72	0.1246045597
73	0.1243171349
74	0.1241193389
75	0.1237383356
76	0.1235513675
77	0.1233821119
78	0.1231218093
79	0.1228614067
80	0.1226372018
81	0.122431616
82	0.1221493862
83	0.1219308363
84	0.1217437852
85	0.1215712155
86	0.1212744602
87	0.1210396257
88	0.1208844583
89	0.1206884657
90	0.12045408
91	0.1203120082
92	0.1201463648
93	0.120005476
94	0.1197566311
95	0.1197487129
96	0.1196160979
97	0.1192906138
98	0.1190936177
99	0.118895463
100	0.1187722327
101	0.1185692947
102	0.1183403009
103	0.1182070967
104	0.1180964568
105	0.1178320783
106	0.1176698778
107	0.1175179348
108	0.1172395041
109	0.1170601025
110	0.1170040331
111	0.1167995323
112	0.1167256649
113	0.1165747567
114	0.1165051312
115	0.1163681471
116	0.1162223045
117	0.1160895997
118	0.1159813362
119	0.1158080296
120	0.1156811305
121	0.1155668598
122	0.1154292996
123	0.1152252569
124	0.1150210836
125	0.1149193232
126	0.1147975801
127	0.1146730352
128	0.1145166485
129	0.1144429747
130	0.1141872464
131	0.1139703807
132	0.1139395636
133	0.1137835411
134	0.113564297
135	0.1133964344
136	0.1133039272
137	0.1131373905
138	0.1129936779
139	0.1128569089
140	0.1127510964
141	0.1125630044
142	0.1124844547
143	0.1124248836
144	0.1122889493
145	0.112206283
146	0.1121422602
147	0.1119108252
148	0.1118235871
149	0.1117182988
150	0.1115850014
151	0.1114837699
152	0.1113270524
153	0.1111490523
154	0.1108967168
155	0.1108000952
156	0.1106546462
157	0.1105257486
158	0.1103668139
159	0.1102257837
160	0.1100621717
161	0.1100606234
162	0.1098673305
163	0.1096726901
164	0.109621448
165	0.1094512755
166	0.1092880502
167	0.1091490211
168	0.1090424128
169	0.1088932225
170	0.1088151522
171	0.1086712519
172	0.1085869916
173	0.1084212193
174	0.1083250525
175	0.1082232011
176	0.1081199606
177	0.1079004777
178	0.1077657622
179	0.107679832
180	0.1074870995
181	0.107395625
182	0.1072360981
183	0.1071223262
184	0.1069463545
185	0.1067921019
186	0.1067544332
187	0.1066445872
188	0.106518584
189	0.1064626516
190	0.1064114314
191	0.106207378
192	0.1061624356
193	0.1060845912
194	0.1059940711
195	0.1058449613
196	0.1057714384
197	0.1057421967
198	0.1055784617
199	0.1055023056
200	0.1054318642
201	0.1053713064
202	0.1052341851
203	0.1051281323
204	0.1050592557
205	0.1050119955
206	0.1049115074
207	0.1048140847
208	0.10474195
209	0.1046579378
210	0.1045829578
211	0.1044368212
212	0.1043320656
213	0.104251091
214	0.104166226
215	0.1041202207
216	0.103997668
217	0.1038968038
218	0.103821573
219	0.103756828
220	0.1037084246
221	0.1035879914
222	0.1035080127
223	0.1034599442
224	0.1033435842
225	0.1032266809
226	0.1031510025
227	0.1030740093
228	0.1030423667
229	0.1029326285
230	0.1028156429
231	0.1027131251
232	0.1026192785
233	0.102504068
234	0.1024344125
235	0.1023679461
236	0.1022849555
237	0.1022021271
238	0.1021492927
239	0.1019954761
240	0.1019376737
241	0.1018969233
242	0.1018444252
243	0.1018121413
244	0.1017758285
245	0.1016394331
246	0.1015807147
247	0.1015348816
248	0.1014882575
249	0.101385602
250	0.1013009804
251	0.101248401
252	0.1011769821
253	0.1011352478
254	0.1011222667
255	0.1009988844
256	0.1008904634
257	0.1008147129
258	0.1007270083
259	0.1006830485
260	0.1005443598
261	0.1004845738
262	0.1004447034
263	0.1004044795
264	0.1003618624
265	0.1002564769
266	0.1002051059
267	0.1001638315
268	0.1001069819
269	0.1000388103
270	0.09997639375
271	0.09988167182
272	0.09984632322
273	0.09972619141
274	0.09962705018
275	0.09954222935
276	0.09949752939
277	0.09943728853
278	0.09934050589
279	0.09931648907
280	0.09930019294
281	0.09927847583
282	0.09920528205
283	0.09915877295
284	0.09914290097
285	0.09911534089
286	0.09906165873
287	0.09899294141
288	0.09896430204
289	0.09892015513
290	0.09881254342
291	0.09869791374
292	0.09864239383
293	0.09854164306
294	0.09846691673
295	0.09834342247
296	0.09827088997
297	0.09816129902
298	0.09813690176
299	0.09805298284
300	0.09798641485
301	0.09796587077
302	0.0979235427
303	0.09786765391
304	0.09779713029
305	0.09772805956
306	0.09770665693
307	0.09766288967
308	0.09758131186
309	0.0975404234
310	0.09750016006
311	0.09740634756
312	0.09732098293
313	0.09717761853
314	0.0970772021
315	0.09699786781
316	0.09695296201
317	0.09686788477
318	0.09680254263
319	0.09674254634
320	0.09671842045
321	0.09666011443
322	0.09659819027
323	0.09651341145
324	0.09649909542
325	0.09644410094
326	0.09635707799
327	0.09627257936
328	0.09620594692
329	0.09616118078
330	0.09608515273
331	0.09605257595
332	0.09601969323
333	0.09587913617
334	0.09581183377
335	0.09578626812
336	0.09572162964
337	0.09567756056
338	0.09559851096
339	0.09554591261
340	0.09549888285
341	0.09546836013
342	0.09543019419
343	0.09539800287
344	0.09537357732
345	0.09530878478
346	0.09526613382
347	0.0952515111
348	0.09519750222
349	0.09515034104
350	0.09512103678
351	0.09508127304
352	0.09492522569
353	0.09486136341
354	0.09475778235
355	0.09466166336
356	0.09463169675
357	0.09461127639
358	0.09452701384
359	0.09444800168
360	0.09437782684
361	0.09429976559
362	0.09424884479
363	0.09416925038
364	0.09410535802
365	0.09401927151
366	0.09398426297
367	0.0939530902
368	0.09390158913
369	0.09388283669
370	0.09383241385
371	0.09376094446
372	0.09360489144
373	0.09354411332
374	0.09346942683
375	0.09342961343
376	0.09335575053
377	0.09326331809
378	0.09321238889
379	0.09317780227
380	0.09308795816
381	0.0930241543
382	0.09294868808
383	0.09290839782
384	0.09287141161
385	0.09279161936
386	0.09273714705
387	0.09269412737
388	0.09267055453
389	0.09262817091
390	0.09255383375
391	0.09253565196
392	0.09247205878
393	0.09241683976
394	0.09237812064
395	0.09234913363
396	0.09230568412
397	0.09220116366
398	0.09215625456
399	0.09209466758
400	0.09202074301
401	0.09197672572
402	0.09193995952
403	0.09187392402
404	0.0917738973
405	0.09173929108
406	0.09170602283
407	0.09166013876
408	0.0916096405
409	0.09150746355
410	0.09141541231
411	0.09139083295
412	0.0913030128
413	0.09123746362
414	0.09121311945
415	0.09113152623
416	0.09107117499
417	0.09101759
418	0.09093706701
419	0.09090313325
420	0.09084631296
421	0.0908200619
422	0.09078984239
423	0.09073853076
424	0.09068075928
425	0.09061627538
426	0.09056953437
427	0.09055581344
428	0.09051699336
429	0.0904473636
430	0.09040369495
431	0.09035967712
432	0.09032253009
433	0.09027923504
434	0.09025539031
435	0.09020143183
436	0.09013321795
437	0.09005898326
438	0.09002026275
439	0.08991888741
440	0.08990043665
441	0.08988100564
442	0.08983643827
443	0.08980685614
444	0.08979128788
445	0.08972889628
446	0.08968891793
447	0.0896099298
448	0.08958098712
449	0.08953978959
450	0.08949853195
451	0.08948317502
452	0.08945279099
453	0.08943485723
454	0.08939494513
455	0.08934806884
456	0.08932947246
457	0.08921331302
458	0.08917637861
459	0.08915923606
460	0.08909995542
461	0.08907933262
462	0.0890586417
463	0.08902523534
464	0.08895696759
465	0.08890834419
466	0.08888537686
467	0.08885129834
468	0.08882171044
469	0.08879823719
470	0.0887403933
471	0.08867895916
472	0.08857212894
473	0.08855960793
474	0.08851290613
475	0.08849264525
476	0.08845894129
477	0.08844062301
478	0.08835937108
479	0.08830738394
480	0.08828358439
481	0.08825158531
482	0.08821779157
483	0.0882039453
484	0.08816768925
485	0.0881234845
486	0.08807422687
487	0.08803665775
488	0.08795776044
489	0.08794978055
490	0.08790364881
491	0.08785078397
492	0.08779695819
493	0.08767168004
494	0.08760637793
495	0.08752739143
496	0.08748635565
497	0.08742778741
498	0.08740759679
499	0.08736697974
500	0.08732753322
501	0.08731284427
502	0.08727485472
503	0.08722918753
504	0.08721046358
505	0.08718445558
506	0.08717776541
507	0.08716375607
508	0.08712991558
509	0.0871172158
510	0.08708518909
511	0.08704033615
512	0.08699573154
513	0.08696531429
514	0.0869435902
515	0.08690806357
516	0.08686322263
517	0.0868078763
518	0.08672982196
519	0.08668729765
520	0.0866406067
521	0.08659939276
522	0.08655518486
523	0.08653680334
524	0.08652370243
525	0.08647803765
526	0.08645530997
527	0.08642184833
528	0.08638628368
529	0.08633227746
530	0.08631064391
531	0.08626002317
532	0.0862378311
533	0.08620489317
534	0.08619532485
535	0.08615128117
536	0.08611963957
537	0.08609295003
538	0.08602990489
539	0.08596300253
540	0.08594302565
541	0.0858981759
542	0.0858790659
