iter	Passed	Remaining
0	247	247525
1	398	198733
2	652	216765
3	920	229240
4	1055	210060
5	1194	197928
6	1340	190164
7	1478	183283
8	1709	188239
9	1857	183867
10	1986	178587
11	2113	173994
12	2276	172823
13	2410	169761
14	2541	166875
15	2679	164786
16	2813	162663
17	2940	160441
18	3060	158017
19	3178	155729
20	3308	154257
21	3442	153050
22	3571	151709
23	3705	150698
24	3830	149383
25	3993	149611
26	4124	148625
27	4252	147616
28	4386	146881
29	4515	145994
30	4640	145063
31	4782	144684
32	4907	143797
33	5039	143184
34	5170	142558
35	5291	141703
36	5419	141058
37	5543	140327
38	5687	140147
39	5823	139774
40	5955	139295
41	6128	139779
42	6257	139258
43	6397	138990
44	6520	138380
45	6644	137791
46	6770	137277
47	6910	137062
48	7042	136674
49	7173	136303
50	7303	135903
51	7436	135577
52	7580	135446
53	7710	135076
54	7845	134806
55	7974	134424
56	8096	133944
57	8219	133500
58	8392	133860
59	8523	133531
60	8661	133325
61	8792	133024
62	8928	132793
63	9051	132378
64	9190	132200
65	9321	131910
66	9481	132029
67	9627	131958
68	9789	132089
69	9914	131716
70	10046	131455
71	10186	131291
72	10323	131093
73	10454	130827
74	10637	131199
75	10779	131061
76	10912	130803
77	11044	130555
78	11173	130266
79	11320	130189
80	11447	129880
81	11578	129618
82	11711	129389
83	11846	129185
84	11977	128929
85	12116	128775
86	12246	128513
87	12391	128424
88	12536	128327
89	12717	128592
90	12971	129569
91	13148	129769
92	13321	129919
93	13502	130137
94	13665	130181
95	13709	129097
96	14042	130725
97	14218	130865
98	14395	131011
99	14567	131105
100	14707	130910
101	14853	130766
102	15044	131017
103	15210	131041
104	15340	130758
105	15484	130592
106	15623	130391
107	15871	131087
108	16139	131925
109	16352	132306
110	16526	132358
111	16728	132635
112	16901	132670
113	17238	133973
114	17486	134567
115	17619	134275
116	17764	134069
117	17900	133802
118	18040	133558
119	18174	133282
120	18327	133142
121	18458	132838
122	18599	132616
123	18735	132355
124	18868	132082
125	19006	131840
126	19167	131757
127	19291	131423
128	19433	131212
129	19606	131213
130	19738	130934
131	19874	130688
132	20014	130472
133	20150	130225
134	20350	130391
135	20563	130636
136	20743	130666
137	20886	130465
138	21048	130381
139	21201	130239
140	21427	130541
141	21612	130587
142	21958	131597
143	22126	131532
144	22288	131427
145	22446	131296
146	22603	131159
147	22794	131219
148	22942	131033
149	23112	130968
150	23253	130745
151	23449	130823
152	23626	130796
153	23878	131177
154	24145	131631
155	24383	131922
156	24612	132152
157	24823	132289
158	25120	132867
159	25272	132679
160	25489	132830
161	25526	132043
162	25754	132248
163	25952	132293
164	26154	132358
165	26380	132539
166	26613	132748
167	26815	132800
168	27013	132831
169	27238	132988
170	27467	133163
171	27723	133458
172	27953	133626
173	28186	133806
174	28386	133823
175	28541	133625
176	28760	133730
177	28951	133697
178	29144	133674
179	29377	133831
180	29583	133860
181	29814	134000
182	30015	134004
183	30155	133733
184	30298	133476
185	30504	133498
186	30766	133760
187	31083	134254
